ED,POLL NO.,URBAN,DUVALL,KIDD,LAW,PATFIELD,PRUE,TEAHEN ,WHITAKER,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BEACHES--EAST YORK,,,,,,,,,,,,,,,,,
005,034, ,38,0,19,6,85,53,1,,,0,0,0,202,414,"Toronto,Canadian Martyrs Catholic School"
005,035, ,32,1,15,5,99,32,0,,,0,1,0,185,392,"Toronto,East York Acres"
005,036s, ,13,0,8,0,77,26,0,,,0,0,0,124,203,"Toronto,East York Acres"
005,037, ,38,1,25,4,102,51,1,,,1,0,0,223,483,"Toronto,George Webster Public School"
005,038, ,34,3,12,3,102,30,0,,,0,1,0,185,375,"Toronto,8 Park Vista"
005,039, ,26,4,11,1,96,34,0,,,1,1,0,174,333,"Toronto,East York Collegiate Institute"
005,040, ,34,0,19,4,93,37,0,,,1,0,0,188,352,"Toronto,Canadian Martyrs Catholic School"
005,041, ,39,1,24,2,112,53,0,,,0,0,0,231,392,"Toronto,Canadian Martyrs Catholic School"
005,042, ,16,0,8,3,56,40,0,,,3,1,0,127,339,"Toronto,D.A. Morrison Middle School"
005,043, ,24,0,15,1,56,42,1,,,0,0,0,139,353,"Toronto,Canadian Martyrs Catholic School"
005,044, ,25,0,23,3,105,37,2,,,1,0,0,196,396,"Toronto,D.A. Morrison Middle School"
005,045, ,46,1,23,4,86,37,1,,,0,0,0,198,359,"Toronto,D.A. Morrison Middle School"
005,046, ,13,0,22,2,111,42,1,,,1,1,0,193,365,"Toronto,D.A. Morrison Middle School"
005,047, ,29,1,32,5,119,30,2,,,0,2,0,220,392,"Toronto,Secord Community Centre"
005,048, ,20,2,13,0,70,41,1,,,0,0,0,147,350,"Toronto,Faith Presbyterian Church"
005,049s, ,10,1,0,1,19,26,3,,,1,0,0,61,107,"Toronto,True Davidson Acres"
005,050, ,18,1,23,5,86,42,0,,,2,0,0,177,386,"Toronto,Faith Presbyterian Church"
005,051, ,32,1,8,1,94,53,1,,,0,0,0,190,331,"Toronto,East York Collegiate Institute"
005,052, ,32,0,17,0,93,38,1,,,1,2,0,184,417,"Toronto,East York Collegiate Institute"
005,053, ,26,0,12,1,101,45,0,,,0,0,0,185,414,"Toronto,D.A. Morrison Middle School"
005,054, ,18,0,13,2,82,36,0,,,0,0,0,151,304,"Toronto,Woodbine Heights Baptist Church"
005,055, ,19,0,17,1,101,44,1,,,0,1,0,184,342,"Toronto,Woodbine Heights Baptist Church"
005,056, ,15,0,28,1,95,38,1,,,2,0,0,180,369,"Toronto,D.A. Morrison Middle School"
005,057, ,42,1,41,2,94,27,0,,,2,3,0,212,396,"Toronto,D.A. Morrison Middle School"
005,058, ,17,1,23,0,76,40,0,,,0,1,0,158,324,"Toronto,Secord Community Centre"
005,059, ,25,1,31,2,81,17,0,,,2,0,0,159,382,"Toronto,Secord Community Centre"
005,060, ,38,1,28,2,85,59,0,,,0,2,0,215,424,"Toronto,Secord Community Centre"
005,061, ,23,1,30,1,68,47,1,,,0,0,0,171,351,"Toronto,William J. Mccordic Public School"
